,tweet_text,tweetid,cluster_label,relevance,theme
18583,The era of the pajama boy is over on January 20th and the alpha males are back  Sebastian Gorka,810259771613937664,0,0,0
98187,The era of the pajama boy is over on January 20th and the alpha males are back,810221806217003008,0,0,0
73827,said it best The era of the pajama boy is over on January 20th and the alpha males are back,811239995834908672,0,0,0
73381,sports Its official Antonio Brown will be on Dancing with the Stars,706958920997187584,1,0,0
44494,sports Report Antonio Brown joining Dancing with the Stars,705813798083375105,1,0,0
69293,Its official Antonio Brown says hell be on Dancing with the Stars  entertainment,706950444417875968,1,0,0
1543,Wanted Substitute dad for Fathers Day Payment Food and beer,871087119120437254,2,0,0
40479,LSUs trio of backup big men making contributions whenever needed in place of Craig Victor II  sports,691970134416576514,2,0,0
61720,LSUs trio of backup big men making contributions whenever needed in place of Craig Victor II  news,691967578411937793,2,0,0
53954,Guardians of the Galaxy Vol 2 blasts off with 145M,861595940704092162,3,0,0
48568,The Guardians of the Galaxy Vol 2 trailer has a first look at Kurt Russells charac,836969642749005824,3,0,0
84030,Guardians of the Galaxy Vol 2 blasts off with 145M debut,861252052512538625,3,0,0
54296,Boy Scouts of America will allow transgender children,826306050173390849,4,0,0
65272,Boy Scouts Will Allow Transgender Children Into Programs,826367475080118273,4,0,0
72322,Boy Scouts Will Allow Transgender Children into Programs,8.26237E+17,4,0,0
84140,Animals at Gazas zoos die of hunger diseases  health,690531489016983552,5,0,0
45917,Animals Weather Human Access Endanger Yazidi Mass Graves,745989348403732480,5,0,0
50415,Animals at Gazas zoos die of hunger diseases  news,690554649451999232,5,0,0
15317,Former NAACP Leader Rachel Dolezal Says She Cant Find A Job,836246358633951232,6,0,0
2507,Former NAACP leader Rachel Dolezal says she cant find job,836191734447161346,6,0,0
16160,The NAACP Wont Renew Contract Of Its President And CEO,866707096921878528,6,0,0
47666,ExNAACP leader Rachel Dolezal gets African name,837330490264780800,6,0,0
50652,Legacy of late NJ police chief lives on through community event,777143407156219906,7,0,0
18225,Former Newark mayors share their life and times in the city,732531187311239169,7,0,0
86827,Vintage photos of streets and roads in NJ,690144520047087616,7,0,0
