,tweet_text,tweetid,cluster_label,relevance,theme
23304,Exercising when your upset could lead to heart attacks,785699436584239105,0,0,0
81629,Physical strain emotional upset can trigger heart attack  health,785579778627674113,0,0,0
24098,Why do celebrity heart attacks get our blood pumping,813819066817347588,0,0,0
45340,Shortage of stresstest dye leads to more invasive heart procedures  health,750418389122756609,0,0,0
49714,Only extreme sitting linked to increased heart disease risk  health,755783371276455937,0,0,0
31907,Black Friday CD Ric Mathis  2500   blacktwitter BlackOwnedStores,701777778182590464,1,2,0
37186,Womens Tshirt  Azalea  2500   blacktwitter BlackOwnedStores,702849360552456192,1,2,0
93637,One Million TShirt  2300   blacktwitter BlackOwnedStores,701240919291330560,1,2,0
6242,Womens Tshirt  White  2500   blacktwitter BlackOwnedStores,702766094327500800,1,2,0
13484,Mens Tshirt  Daisy  2500   blacktwitter BlackOwnedStores,710471746105638912,1,2,0
36021,One Million TShirt  2500   blacktwitter BlackOwnedStores,710386430569091072,1,2,0
56416,Mens Tshirt  Tropical Blue  2500   blacktwitter BlackOwnedStores,703135711453540352,1,2,0
52913,Men Think Black RBG Tee  2500   blacktwitter BlackOwnedStores,701218823437885440,1,2,0
70747,In The Recruiting Huddle Hector Vargas  Ronald Reagan,829836374136279041,2,0,0
87841,In The Recruiting Huddle Mark Fox Jr  Northwestern,865252449761861632,2,0,0
73031,In The Recruiting Huddle Avery Thornton  Boyd Anderson,880081415538327552,2,0,0
66714,In The Recruiting Huddle Brieon Fuller  Doral Academy,837804643996614656,2,0,0
50441,In The Recruiting Huddle Jaquan Beaver  Booker T Washington,840347849934163969,2,0,0
34910,In The Recruiting Huddle Torey Morrison  Keys Gate Charter,844639919767244804,2,0,0
21985,75th anniversary of Pearl Harbor attacks,806475949109821440,3,0,0
13308,Last Doolittle Raider 101 recalls attack 75 years later,853584375459577856,3,0,0
53633,Pearl Harbor attack at 75 Vets keep memories alive,806364193184247808,3,0,0
48518,Remains of heroic priest IDed 75 years after Pearl Harbor newspaper reports,781505726363541505,3,0,0
97384,75th Pearl Harbor anniversary marked aboard last ship from the attack,806637460356792320,3,0,0
574,Arizona commemorates 75th anniversary of Pearl Harbor attack,806670183184089091,3,0,0
59037,Greek communists protest pension tax reforms  business,729048307188699136,4,1,28
97869,Greek farmers rail against Tsipras as taxes loom  world news,690573720172163073,4,1,28
27115,Greek communists protest pension tax reforms  news,729002042023280640,4,1,28
8838,Council of Europe slams Greek prison conditions  news,704452721227599873,4,1,28
79145,Greek lawmakers pass pension tax reforms after fiery debate  world news,729428994706178048,4,1,28
59977,SoftenABadGuy  The Green Gobbler,828901799998263296,5,0,0
72004,From Here To Fraternity AllMaleReboots,781058619609608192,5,0,0
69060,The Man With The Golden Buns SoftenABadGuy,828908324234129408,5,0,0
18332,The Piddler SoftenABadGuy,828900080291815424,5,0,0
86196,Gulp Friction AllMaleReboots,781057910205927424,5,0,0
68120,Dan Of Green Gables  AllMaleReboots,781056550056108034,5,0,0
69092,Lex Poofer SoftenABadGuy,828908830671114240,5,0,0
48858,MANS  AllMaleReboots,781056812510392320,5,0,0
66911,Jowls SoftenABadGuy,828908477632360452,5,0,0
8982,Joseph Crawlin SoftenABadGuy,828900766643585025,5,0,0
68150,Sucker Punch 2 The Balls AllMaleReboots,781057043776110592,5,0,0
20492,Today we honor these 26 black women who died in police custody BlackLivesMatter   Jessica Williams,787518437249589248,6,1,2
56394,Today we honor these 26 black women who died in police custody BlackLivesMatter   Eleanor Bumpurs,864599988214431744,6,1,2
35131,Today we honor these 26 black women who died in police custody BlackLivesMatter   Shereese Francis,787483206886883332,6,1,2
7373,Today we honor these 26 black women who died in police custody BlackLivesMatter   Kathryn Johnston,864599712896172032,6,1,2
27268,Today we honor these 26 black women who died in police custody BlackLivesMatter   Briana Ojeda,787508367128494080,6,1,2
51557,Today we honor these 26 black women who died in police custody BlackLivesMatter   Miriam Carey,787478168424906752,6,1,2
98183,Woman shot left for dead on East Side sidewalk was 26 officials,799630071174729728,6,1,2
70583,Equal Pay Day Heres What You Need to Know,849205453347332097,7,0,0
70945,Women do earn the same pay if they work well,693163997021995008,7,0,0
1339,Equal Pay Day Highlights Gender Pay Gap in Texas,849207719227785217,7,0,0
83630,Women still earning less money than men despite gains in education study     EqualPayDay,720062203932467200,7,0,0
69158,Amazon says its female workers paid equally as men  tech,712731483471937536,7,0,0
76378,says review finds women get equal pay at company  tech,712692935255465984,7,0,0
91702,BlackWomensEqualPay Blck women are paid less than White men even when they do the same job,768157388163649537,7,0,0
92806,AddSethImproveAnything Vengeance is mine seth the Lord,777807062617075712,8,0,0
46672,AddSethImproveAnything  Setharrhea,777814408835715073,8,0,0
20023,AddSethImproveAnything Im ugly so I dont take Sethies,777798367048970240,8,0,0
91062,addsethimproveanything Were gonna need a bigger Seth,777806620193460224,8,0,0
36475,AddSethImproveAnything Seth Seems to Be the Hardest Word,777804996058476544,8,0,0
48419,AddSethImproveAnything Sethtastic,777814922466103296,8,0,0
22456,AddSethImproveAnything Star Wars Revenge of the Seth,777798403082297344,8,0,0
9819,AddSethImproveAnything Make Seth Great Again,777813714716139522,8,0,0
83178,AddSethImproveAnything Oh please dont take my Seth away,777807903118032897,8,0,0
87579,AddSethImproveAnything Seth I wanna blow you Superbad,777810394647826432,8,0,0
11575,addsethimproveanything You Seth whaat,777803608599302144,8,0,0
23185,AddSethImproveAnything Sethual Healing,777807641477349376,8,0,0
61521,addsethimproveanything  The Seth is Out There,777798106708643840,8,0,0
52409,AddSethImproveAnything I smell Seth and Candy here Goodtimes lounging in my chair,777815528715026432,8,0,0
17088,AddSethImproveAnything No Seth please were British,777799529089249281,8,0,0
95948,Kate Middletons Sister Pippa Getting Hitched This Weekend,865584653503221760,9,0,0
77466,40yo Muslim marries 8yo Where is liberal outrage,781707143439417344,9,1,20
48269,sports Kate Upton announces engagement to Justin Verlander,727565017285951488,9,1,20
24379,sports Jennifer Azzi comes out as gay announces marriage to her USF assistant coach,716025628881911808,9,1,20
96012,Michigan Couple Celebrates 80th Wedding Anniversary,879080836536119298,9,1,20
57920,RT GoogleStreetArt New Street Art by Donk in London   streetart art arte,840671227324829696,10,0,0
25792,Street Art by DFace in NY   streetart art arte,843702991517573120,10,0,0
19921,RT GoogleStreetArt New Street Art by Murmure   Paris   art arte graffiti streetart,838037203418742784,10,0,0
34223,RT GoogleStreetArt New Street Art by Gudassis found in Belo Horizonte Brazil    streetart art arte,841723960060436480,10,0,0
12901,New Street Art by DFaceOfficial found in Paris France    streetart art arte,859653522257793024,10,0,0
71982,New Street Art by Zedr found in Adelaide Australia    streetart art arte,867868979875983360,10,0,0
60218,RT GoogleStreetArt New Street Art by Julian Clavijo found in Benalla Australia    art arte streetart,878986922143744002,10,0,0
3560,RT GoogleStreetArt Jorit Agoch new huge Street Art of Diego Maradona found in Naples Italy    art arte stree,846952370445672449,10,0,0
33169,New Street Art by Jef Aerosol found in Marseille France    streetart art arte,841413099232088066,10,0,0
20019,RT GoogleStreetArt Street Art by London Police   art arte graffiti streetart,837843805231591428,10,0,0
42076,RT GoogleStreetArt New Street Art by Gomez found in Rome  streetart art arte,841751587013951495,10,0,0
76104,Wild Card Weekend Sees Bengals Prepped For Round Three Against Steelers  news,684395483951857664,11,0,0
29586,Fall All Stars 2016 Northern Kentucky football,820479198762516483,11,0,0
53263,sports Steelers report card Hand out your grades for the Bengals game,686261774090244097,11,0,0
16909,Can Bengals Ride BackUp McCarron To Long Awaited Playoff Win  news,685142089475047424,11,0,0
51087,Steelers at Bengals Live updates from the AFC wildcard game  sports,685997287219187712,11,0,0
29373,Steelers at Bengals Live updates from the AFC wildcard game  news,685997287344975872,11,0,0
5451,Milwaukee programs get grants for legal services fighting homelessness  Milwaukee,727266504438239232,12,0,0
65719,New report examines heroin opioid deaths in Milwaukee County  Milwaukee,711769687877558272,12,0,0
56079,Walker to announce Bucks arena financing Thursday afternoon  Wisconsin,707759878811422720,12,0,0
40296,Bucks commit to living wage deal for new arena  Milwaukee,733386215332810753,12,0,0
70350,Milwaukee receives grant to study heroin addiction  Wisconsin,718649115966447616,12,0,0
75739,Milwaukee County panel backs resuming payments for Marcus Center  Milwaukee,707255060292481024,12,0,0
77162,TopNews Killing of gorilla to save boy at Ohio zoo sparks outrage,736980980783681536,13,0,0
804,Tiger kills zookeeper at zoo in England,869410871293988865,13,0,0
68257,Police investigate parents of boy rescued from gorilla  news,737792896896663552,13,0,0
57287,TopNews Florida zoo worker dies after tiger attack local media,721085994573770752,13,0,0
25557,Bantu the gorilla dies from cardiac arrest in Mexico City zoo  environment,751237767514902528,13,0,0
