,Unnamed: 0,tweet_text,tweetid,cluster_label,relevance,theme
90657,66851,TimeTravelerProblems spoilers are everywhere,759312757900644352,0,0,0
90658,94015,Exploring the past and present while getting impersonated by Barney Stinson in the present TimeTravelerProblems,759327643250536449,0,0,0
90659,99187,Still too many tourists TimeTravelerProblems,759336012015370240,0,0,0
90660,82852,TimeTravelerProblems family,759344578000322560,0,0,0
90661,57380,No Time Machine TimeTravelerProblems,759337310878064640,0,0,0
90662,76742,A slight chance of getting stuck in a never ending paradox of timelines and space without any way of escaping TimeTravelerProblems,759334293873111041,0,0,0
90663,7803,Hey Bana how did you get a signal if bombs exploded the area that youre currently in,851654698780180480,1,0,0
90664,6955,How did you get a signal if bombs exploded the area that youre currently in,851654499227672576,1,0,0
90665,17739,Hey  how did you get signal while bombs are around,850948243923935233,1,0,0
90666,2719,How did you get your signal if youre in a warzone right now,851340674964180993,1,0,0
90667,10970,How did you get a signal if bombs exploded the area that youre currently in,851654454747082752,1,0,0
90668,16573,Can you answer my question  How did you get a signal after the bombs were dropped,852316218325221376,1,0,0
90669,7806,How did you get a signal if bombs exploded the area that youre currently in,851654478168154113,1,0,0
90670,7280,Hey Bana how did you get a signal if bombs exploded the area that youre currently in,851655014980308992,1,0,0
90671,222,Get off your high horse Youre too fat and the horse is in pain,817942935148711936,2,0,0
90672,19664,Get off your high horse Youre too fat and the horse is in pain,813643989786107904,2,0,0
90673,39908,horse laugh mustbebanned,768474726750621696,2,0,0
90674,89626,ItTurnedAwkward When Leo fell asleep in the dead horse,694165810894368768,2,0,0
90675,52845,Stolen Henry County horse extremely stressed after being dumped,780150964615471106,2,0,0
90676,12021,Get off your high horse Youre too fat and the horse is in pain,816858138968084480,2,0,0
90677,64847,LSU QB Brandon Harris to undergo sports hernia surgery this week  sports,684092524063887360,3,0,0
90678,80356,sports Panthers LB Kuechly to undergo shoulder surgery,700012491175100416,3,0,0
90679,82567,Pence lands on DL with hamstring injury,864258960911720449,3,0,0
90680,87262,Giants Hunter Pence set for hamstring surgery likely out 8 weeks,739598684262801409,3,0,0
90681,23106,Bears Place Kevin White On Injured Reserve With Fractured Fibula,783715844811526144,3,0,0
90682,89172,Australian minister says rights commissioner politicizing role  world news,790021081683922945,4,1,3
90683,67034,Australia votes in close poll as PM seeks reform mandate  world news,749155570918141952,4,1,3
90684,41712,Australia announces voting reforms signaling possible early polls  world news,701648008241291264,4,1,3
90685,72438,Australian PM Turnbull weighs early poll to break political deadlock  world news,694438809413378048,4,1,3
90686,61031,Australian police investigate Vatican treasurer over abuse ABC  world news,758418484783046656,4,1,3
90687,23552,Early election looms as Australian PM seeks to reform hostile Senate  world news,710330683336499201,4,1,3
90688,93151,These black artists created work that spoke volumes at the annual art show  14 Nina Chanel Abney,806380218864701440,5,2,0
90689,67854,These black artists created work that spoke volumes at the annual art show  8 Romare Bearden,806365119282171904,5,2,0
90690,71812,These black artists created work that spoke volumes at the annual art show 1 Tomashi Jackson,806347504065212418,5,2,0
90691,62349,These black artists created work that spoke volumes at the annual art show  2 Yashua Klos,806350020203216897,5,2,0
90692,25570,These black artists created work that spoke volumes at the annual art show  15 Aaron Flower,806382737347190785,5,2,0
90693,47607,These black artists created work that spoke volumes at the annual art show  16 Wesley Clark,806385255955439616,5,2,0
90694,44239,Mens Tshirt  Lime  2500   blacktwitter BlackOwnedStores,710462099517009920,6,2,0
90695,55429,Teen retailer rue21 closing 400 stores,853961376951402496,6,2,0
90696,41650,Black Friday CD Ric Mathis  2000   blacktwitter BlackOwnedStores,702872615535452161,6,2,0
90697,22556,Ladies Fitted V Neck  2000   blacktwitter BlackOwnedStores,701902116802207744,6,2,0
90698,44625,Womens Tshirt  Lime  2500   blacktwitter BlackOwnedStores,701881189578231809,6,2,0
90699,76959,Womens Tshirt  Saphire  2500   blacktwitter BlackOwnedStores,701218601920032768,6,2,0
90700,95346,Womens Tshirt  Saphire  2500   blacktwitter BlackOwnedStores,703314466608279552,6,2,0
90701,27865,Beyonc announced tour to make us forget about the water in Flint StayWoke,740559032285532161,7,0,0
90702,28063,This Beyonce halftime was a distraction so we wont notice this game is fixed staywoke,740605703090503680,7,0,0
90703,42508,Beyonc announced tour to make us forget about the water in Flint StayWoke If it made u forget u were never woke to begin,740586436320059396,7,0,0
90704,72170,Beyonc announced tour to make us forget about the water in Flint StayWoke If it made u forget u were never woke to begin,741189222460063745,7,0,0
90705,68818,Beyonc announced tour to make us forget about the water in Flint StayWoke,708198594734465024,7,0,0
90706,49018,This Beyonce halftime was a distraction so we wont notice this game is fixed staywoke,732262872600956928,7,0,0
90707,25954,This Beyonce halftime was a distraction so we wont notice this game is fixed staywoke,715444622437261312,7,0,0
90708,52888,this is a distraction by the devil to make you not pay attention to the Beyonc tour staywoke  and you know what I meant,698070359560560640,7,0,0
90709,91699,Anal seth  AddSethImproveAnything,777817335864303617,8,0,0
90710,93920,AddSethImproveAnything nothing to add just Sethimprovement,777816732312473600,8,0,0
90711,23909,AddSethImproveAnything Marvin Gay Sethual healing,777803340180692993,8,0,0
90712,38247,AddSethImproveAnything Who the fuck is Seth and why would he improve anything Fuck Seth,777798486011944960,8,0,0
90713,74922,AddSethImproveAnything  Harry Potter and the Sethly hallows,777817051859746817,8,0,0
90714,58045,AddSethImproveAnything Give me Liberty or give me Seth,777798979492859904,8,0,0
90715,78169,AddSethImproveAnything  Seth Lies,777802984436604928,8,0,0
90716,78613,AddSethImproveAnything  Go Seth yourself,777816641417519105,8,0,0
90717,37909,AddSethImproveAnything Seth Lies and Videotape,777803116955701248,8,0,0
