,tweetid,tweet_text,url,page_title
0,794226157491142656,#Summary of armed #clashes: the background of #crisis #Syria_News #InsideSyriaMC #terrorists https://t.co/dMvBmLyMek https://t.co/wHH86mrTox,https://en.insidesyriamc.com/2016/11/03/summary-of-armed-clashes-the-background-of-crisis,summary of armed clashes the background of crisis
1,743824267880464384,WikiLeaks founder says big leak on Hillary Clinton could lead to indictment: https://t.co/m1uGdyzY6X # via @AOL #HillaryForPrison2016,https://www.aol.com/article/2016/06/16/wikileaks-founder-says-big-leak-on-hillary-clinton-could-lead-to/21396978/?a_dgi=aolshare_twitter,WikiLeaks founder says big leak on Hillary Clinton could lead to indictment
2,697893216033644544,"Clifford Durand @ockisdead is the male student who assaulted the female student @StJohnsU

https://t.co/Az2Lj8rps4
 https://t.co/9UJKfHXlcM",https://www.dailymail.co.uk/news/article-3441377/7-000-retweets-ll-smash-b-ch-s-computer-Violence-breaks-New-York-college-campus-Trump-sticker.html,Clifford Durand pledges to 'smash b**ch's computer' over Donald Trump sticker | Daily Mail Online
3,689631801237581825,"[Watch] Farrakhan Shouts “Allahu Akbar!” While Calling For 10,000 Volunteers To KILL WHITES https://t.co/L8jmoatjID via Stand Up,Fight Back!",https://gopthedailydose.com/2016/01/17/watch-farrakhan-shouts-allahu-akbar-while-calling-for-10000-volunteers-to-kill-whites/,watch farrakhan shouts allahu akbar while calling for 10000 volunteers to kill whites
4,823905542225661952,Staffan de Mistura and Iranian delegation joined the negotiations in #Astana #Peace4Syria https://t.co/QSJeleEreF https://t.co/pUPyCCo45F,https://en.insidesyriamc.com/2017/01/24/staffan-de-mistura-and-iranian-delegation-joined-the-negotiations-in-astana,staffan de mistura and iranian delegation joined the negotiations in astana
5,814128915270733824,"Only Syrian people should determine the future of their country #InsideSyriaMC
#Syria #Assad https://t.co/VDjMs148tD https://t.co/DtZo2oNDfy",https://en.insidesyriamc.com/2016/12/28/only-syrian-people-should-determine-the-future-of-their-country,only syrian people should determine the future of their country
6,794897572980723712,Humanitarian Pause in Syria's Aleppo Broken #InsideSyriaMC #Syrian_news #Aleppo #Damascus https://t.co/XxXs3I0af3 https://t.co/q7T1qmd9hQ,https://en.insidesyriamc.com/2016/11/05/humanitarian-pause-in-syrias-aleppo-broken,humanitarian pause in syrias aleppo broken
7,832571702718640128,#SyrianArmy repulsed militant's attack in #Hama https://t.co/yjefHWdwCF https://t.co/DEtfAjlfJD,https://en.insidesyriamc.com/2017/02/17/syrian-army-repulsed-militants-attack-in-hama,syrian army repulsed militants attack in hama
8,689594790665580545,"[Watch] Farrakhan Shouts “Allahu Akbar!” While Calling For 10,000 Volunteers To KILL WHITES https://t.co/L8jmoatjID via #BanIslam!",https://gopthedailydose.com/2016/01/17/watch-farrakhan-shouts-allahu-akbar-while-calling-for-10000-volunteers-to-kill-whites/,watch farrakhan shouts allahu akbar while calling for 10000 volunteers to kill whites
9,821014795398893568,Syrian Army Seized Important Crossroad East to Palmyra #InsideSyriaMC https://t.co/gsliaHsU8a https://t.co/Nw9YdHw1Lk,https://en.insidesyriamc.com/2017/01/16/syrian-army-seized-important-crossroad-east-to-palmyra,syrian army seized important crossroad east to palmyra
10,835067965963907072,De Mistura welcomed the talks in Astana #Syria #InsideSyriaMC #UN #Geneva #Syrian_talks https://t.co/QMJdUpFRy8 https://t.co/r5gZ4kJnwW,https://en.insidesyriamc.com/2017/02/24/de-mistura-welcomed-the-talks-in-astana,de mistura welcomed the talks in astana
11,871705392564154373,#Kazakhstan Announced Issues of Upcoming #Syrian_Talks #Peace4Syria https://t.co/d3pUIaalQF https://t.co/VopAr0xYBj,https://en.insidesyriamc.com/2017/06/05/kazakhstan-announced-issues-of-upcoming-syrian-talks/,kazakhstan announced issues of upcoming syrian talks
12,744765090377805824,"Idaho: Muslim migrants hold knife to throat of little girl, rape her, urinate on her https://t.co/kAgYZXljLV #idaho #refugeesnotwelcome",https://www.jihadwatch.org/2016/06/idaho-muslim-migrants-hold-knife-to-throat-of-little-girl-rape-her-urinate-on-her,"Idaho: Muslim migrants hold knife to throat of little girl, rape her, urinate on her"
13,821713813586190336,Syrian Army liberated Several Villages in Eastern Aleppo #InsideSyriaMC https://t.co/izXJkXw3FB https://t.co/hb6cnHyNjo,https://en.insidesyriamc.com/2017/01/18/syrian-army-liberated-several-villages-in-eastern-aleppo,syrian army liberated several villages in eastern aleppo
14,803928957678735360,"Summary of armed clashes: militants shell cities and living quaters
#InsideSyriaMC https://t.co/IC28P3wOat https://t.co/2Daayzvv9s",https://en.insidesyriamc.com/2016/11/30/summary-of-armed-clashes-militants-shell-cities-and-living-quaters,summary of armed clashes militants shell cities and living quaters
15,812295528952332288,"Moments of humanitarian aid for common citizens of Aleppo PHOTO
#InsideSyriaMC https://t.co/DZsW3FH8Du https://t.co/A7kB1aPL1Y",https://en.insidesyriamc.com/2016/12/23/moments-of-humanitarian-aid-for-common-citizens-of-aleppo-photo,moments of humanitarian aid for common citizens of aleppo photo
16,689631400484438018,"[Watch] Farrakhan Shouts “Allahu Akbar!” While Calling For 10,000 Volunteers To KILL WHITES https://t.co/L8jmoatjID via #Racist scumbag",https://gopthedailydose.com/2016/01/17/watch-farrakhan-shouts-allahu-akbar-while-calling-for-10000-volunteers-to-kill-whites/,watch farrakhan shouts allahu akbar while calling for 10000 volunteers to kill whites
17,809426868839612416,"Summary of Armed Clashes: Terrorists shell living quarters in Syria
#InsideSyriaMC https://t.co/RzJRP5LI3F https://t.co/izHddqRGHr",https://en.insidesyriamc.com/2016/12/15/summary-of-armed-clashes-terrorists-shell-living-quarters-in-syria-2,summary of armed clashes terrorists shell living quarters in syria 2
18,836606725646077953,Russia to veto the #UN sanctions against #Syrians #InsideSyriaMC #Syria #Russia https://t.co/spjIxBDJD2 https://t.co/ddKkMQ9REb,https://en.insidesyriamc.com/2017/02/28/russia-to-veto-the-un-sanctions-against-syria,russia to veto the un sanctions against syria
19,869187289976635392,U.S. Air Strikes Lead to 20 Civilians Killed in Raqqa https://t.co/ihT55DtKir https://t.co/4AFhecusps,https://en.insidesyriamc.com/2017/05/29/u-s-air-strikes-lead-to-20-civilians-killed-in-raqqa/,u s air strikes lead to 20 civilians killed in raqqa
20,844202899588759555,#Syrian_Army Defeats Attacks of #Militants in Eastern #Damascus #InsideSyriaMC #Syria https://t.co/2je9gu62U9 https://t.co/JHi6bM3DT9,https://en.insidesyriamc.com/2017/03/21/syrian-army-defeats-attacks-of-militants-in-eastern-damascus,syrian army defeats attacks of militants in eastern damascus
21,862334422540066816,#SyrianArmy Repulsed #ISIS Attacks on #DeirEzzor #InsideSyriaMC https://t.co/2YNd3T7bHY https://t.co/n8yjz7indt,https://en.insidesyriamc.com/2017/05/10/syrian-army-repulsed-isis-attacks-on-deir-ez-zor/,syrian army repulsed isis attacks on deir ez zor
22,809775669685194752,"Summary of Armed Clashes: Jihadists shell living quarters in Syria
#InsideSyriaMC https://t.co/TmUn15qk0X https://t.co/r42rdxGAWS",https://en.insidesyriamc.com/2016/12/16/summary-of-armed-clashes-jihadists-shell-living-quarters-in-syria,summary of armed clashes jihadists shell living quarters in syria
23,753455153177513986,BREAKING: Obama Signs Executive Order Allowing Military To Fight US Citizens https://t.co/RV3WKupUlj #CivilizationJihad,https://usanewsflash.com/breaking-obama-signs-executive-order-allowing-military-fight-us-citizens/,Loading...
24,806865051047129088,"Summary of armed clashes: militants still shelling living quarters
#InsideSyriaMC https://t.co/UxpXX2caKa https://t.co/7C0ObEMQyI",https://en.insidesyriamc.com/2016/12/08/summary-of-armed-clashes-militants-still-shelling-living-quarters,summary of armed clashes militants still shelling living quarters
