,tweet_text,tweetid,cluster_label,relevance,theme
0,The era of the pajama boy is over on January 20th and the alpha males are back  Sebastian Gorka ,810259771613937664,0,0.0,0
1,The era of the pajama boy is over on January 20th and the alpha males are back   ,810221806217003008,0,0.0,0
2, said it best The era of the pajama boy is over on January 20th and the alpha males are back ,811239995834908672,0,0.0,0
3,sports Its official Antonio Brown will be on Dancing with the Stars,706958920997187584,1,0.0,0
4,sports Report Antonio Brown joining Dancing with the Stars,705813798083375105,1,0.0,0
5,Its official Antonio Brown says hell be on Dancing with the Stars  entertainment,706950444417875968,1,0.0,0
6,Wanted Substitute dad for Fathers Day Payment Food and beer  ,871087119120437254,2,0.0,0
7,LSUs trio of backup big men making contributions whenever needed in place of Craig Victor II  sports,691970134416576514,2,0.0,0
8,LSUs trio of backup big men making contributions whenever needed in place of Craig Victor II  news,691967578411937793,2,0.0,0
9,Guardians of the Galaxy Vol 2 blasts off with 145M  ,861595940704092162,3,0.0,0
10,The Guardians of the Galaxy Vol 2 trailer has a first look at Kurt Russells charac  ,836969642749005824,3,0.0,0
11,Guardians of the Galaxy Vol 2 blasts off with 145M debut  ,861252052512538625,3,0.0,0
12,Boy Scouts of America will allow transgender children  ,826306050173390849,4,0.0,0
13,Boy Scouts Will Allow Transgender Children Into Programs  ,826367475080118273,4,0.0,0
14,Boy Scouts Will Allow Transgender Children into Programs  ,826236665773568000,4,0.0,0
15,Animals at Gazas zoos die of hunger diseases  health,690531489016983552,5,0.0,0
16,Animals Weather Human Access Endanger Yazidi Mass Graves ,745989348403732480,5,0.0,0
17,Animals at Gazas zoos die of hunger diseases  news,690554649451999232,5,0.0,0
18,Former NAACP Leader Rachel Dolezal Says She Cant Find A Job  ,836246358633951232,6,0.0,0
19,Former NAACP leader Rachel Dolezal says she cant find job  ,836191734447161346,6,0.0,0
20,The NAACP Wont Renew Contract Of Its President And CEO ,866707096921878528,6,0.0,0
21,ExNAACP leader Rachel Dolezal gets African name  ,837330490264780800,6,0.0,0
22,Legacy of late NJ police chief lives on through community event ,777143407156219906,7,0.0,0
23,Former Newark mayors share their life and times in the city,732531187311239169,7,0.0,0
24,Vintage photos of streets and roads in NJ,690144520047087616,7,0.0,0
25,TopNews Engineer of crashed NJ train was fully rested questions remain,782710701236244480,8,0.0,0
26,TopNews Engineer of derailed NJ train was fully rested NTSB,782688080117374976,8,0.0,0
27,Engineer of derailed NJ train was fully rested questions remain  ,782701273032167424,8,0.0,0
28,Motel manager pouring acid in the water when Black people swam in his pool 1964 BlackLivesMatter ,714980201956909057,9,0.0,0
29,Hotel owner pouring acid in the water when black people swam in his pool ca 1964 ,868637936098476032,9,0.0,0
30,Hotel owner pouring acid in the water when black people swam in his pool CA 1964 ,784922579228327936,9,0.0,0
31,Longshoremen back at ports in NY NJ after surprise walkout  business,693493084919767040,10,0.0,0
32,Truck drivers warehouse workers continue strike at Ports of LA Long Beach  ,877207024064450560,10,0.0,0
33,Investigation begins into NJ NY port walkout as dockworkers return,694110332252344321,10,0.0,0
34,With port back in business dockworkers arent saying why they walked off,694499391449616384,10,0.0,0
35,Longshoremen set to return to ports in New York New Jersey  business,693278451436904448,10,0.0,0
36,Sorry for that autocorrect  ,703965253223129093,11,0.0,0
37, Its the markers fault it didnt autocorrect,740218412996173824,11,0.0,0
38,Most controversial autocorrect fail Ive ever seen ,861986126462169089,11,0.0,0
39,Textbooks could be history as schools switch to free online learning  ,843463140205608960,12,0.0,0
40,Students librarians urge professors to use free online textbooks  local,695276576129175553,12,0.0,0
41,Bookshare Program Makes Books Digitally Accessible  ,824433057495216128,12,0.0,0
42,Just trying to blame something for his fault Snyder should resign as soon as he fixes it ,689613658440273920,13,0.0,0
43,Kyle Schwarber must stop leading off  for everybodys sake  ,864246620652785664,13,0.0,0
44,Someone tell Fred Hoiberg to shut up and get his team ready to start a playoff game  ,856503379144605697,13,0.0,0
45,All you need to know about George Soros and his terrorist BlackLivesMatter organization ,855437722030190593,14,1.0,2
46,All you need to know about DeRay BlackLivesMatter leader lives in home owned by Soros Open Society board member  ,753313440471539712,14,1.0,2
47,Just a reminder BlackLivesMatter leader  lives in home owned by Soros ,783476300061118464,14,1.0,2
48,Ivanka Trumpbrand scarves recalled because of burn risk  news,718020441688768512,15,1.0,14
49,Thousands of Ivanka Trump scarves recalled over burn risk ,717985158440194048,15,1.0,14
50,Ivanka Trump Scarves MadeinChina Are Recalled Over Burn Risk  politics,717883082804625408,15,1.0,14
51,Im not the next Usain Bolt or Michael Phelps Im the 1st Simone Biles  Simone Biles on her legacy ,764310783693946880,16,0.0,0
52,Madonna I was born in Bay City not Detroit  ,858038187016560640,16,0.0,0
53,Simone Biles Isnt The Next Anyone Shes The First Simone Biles ,765206554463367172,16,0.0,0
54,Japan PM Abe sends ritual offering to Yasukuni shrine for war dead  world news,787851695371890688,17,0.0,0
55,Japan PM sends ritual offering to Yasukuni shrine for war dead  world news,764990997856006145,17,0.0,0
56,Japan lawmakers group visits Yasukuni shrine for war dead  world news,788217041928933376,17,0.0,0
57,Japans Abe makes ritual offering at Yasukuni shrine to war dead  world news,722969386311503872,17,0.0,0
58,Whats your take on LSUs baseball season Let us know  sports,727173664878157824,18,0.0,0
59,Congressional Baseball Game Has Been Bipartisan DC Fixture  ,874995194097225730,18,0.0,0
